year,month,day,pna_index_cdas
2020,12,28,0.6120175123214722
2020,12,29,0.814018964767456
2020,12,30,0.6166675090789795
2020,12,31,0.6317276954650879
2021,1,1,0.8581368327140808
2021,1,2,0.7527528405189514
2021,1,3,0.8445373773574829
2021,1,4,1.0158642530441284
2021,1,5,1.2732245922088623
2021,1,6,1.1332560777664185
2021,1,7,0.8565886616706848
2021,1,8,0.7880604863166809
2021,1,9,0.8526171445846558
2021,1,10,0.7976446151733398
2021,1,11,0.6719395518302917
2021,1,12,0.4261331558227539
2021,1,13,0.38252782821655273
2021,1,14,0.7191685438156128
2021,1,15,0.965210497379303
2021,1,16,0.7456924319267273
2021,1,17,0.4548928141593933
2021,1,18,0.4602474868297577
2021,1,19,0.3552340865135193
2021,1,20,0.10581523925065994
2021,1,21,-0.120430126786232
2021,1,22,-0.45964866876602173
2021,1,23,-0.8369662761688232
2021,1,24,-1.1698423624038696
2021,1,25,-1.209901213645935
2021,1,26,-1.3243706226348877
2021,1,27,-1.3658607006072998
