,msl_row,msl_column,z_row,z_column
2010-06-21,3,4,3,0
2010-06-22,3,4,3,0
2010-06-23,2,4,3,0
2010-06-24,0,1,1,1
2010-06-25,0,0,0,2
2010-06-26,0,1,0,2
2010-06-27,0,1,0,2
2010-06-28,2,1,0,2
2010-06-29,2,2,1,1
2010-06-30,1,2,1,1
2010-07-01,1,2,2,1
2010-07-02,0,2,2,0
2010-07-03,0,2,2,0
2010-07-04,0,1,2,2
2010-07-05,0,1,3,1
2010-07-06,3,2,3,0
2010-07-07,3,4,3,0
2010-07-08,3,4,3,0
2010-07-09,3,4,3,0
2010-07-10,0,1,3,0
2010-07-11,0,0,0,4
2010-07-12,0,0,0,4
2010-07-13,0,0,0,4
2010-07-14,1,0,0,4
2010-07-15,3,0,0,4
2010-07-16,3,0,1,4
2010-07-17,3,0,2,4
2010-07-18,3,1,3,4
2010-07-19,2,0,3,4
2010-07-20,2,0,3,4
2010-07-21,1,0,2,4
2010-07-22,0,0,0,4
2010-07-23,0,0,0,4
2010-07-24,2,0,1,4
2010-07-25,3,0,2,3
2010-07-26,3,1,2,3
2010-07-27,3,1,2,3
2010-07-28,3,1,2,3
2010-07-29,3,3,2,2
2010-07-30,2,2,1,2
2010-07-31,2,0,1,2
2011-06-01,3,4,3,0
2011-06-02,3,4,3,0
2011-06-03,3,4,3,0
2011-06-04,3,2,3,0
2011-06-05,3,3,3,0
2011-06-06,3,4,3,0
2011-06-07,3,4,3,0
2011-06-08,3,4,3,0
2011-06-09,3,4,3,0
2011-06-10,3,4,3,0
2011-06-11,0,4,2,1
2011-06-12,0,2,0,2
2011-06-13,0,0,1,2
2011-06-14,3,1,3,3
2011-06-15,3,4,3,1
2011-06-16,3,4,3,0
2011-06-17,2,4,3,1
2011-06-18,0,2,3,3
2011-06-19,0,1,1,2
2011-06-20,0,3,0,1
2011-06-21,1,3,0,0
2011-06-22,2,3,1,0
2011-06-23,2,3,1,0
2011-06-24,3,4,1,0
2011-06-25,3,4,3,0
2011-06-26,3,4,3,0
2011-06-27,2,1,3,2
2011-06-28,0,0,1,4
2011-06-29,0,0,0,4
2011-06-30,0,0,0,4
2011-07-01,0,0,0,4
2011-07-02,0,1,0,4
2011-07-03,0,2,0,2
2011-07-04,0,2,0,2
2011-07-05,3,3,2,2
2011-07-06,3,4,3,2
2011-07-07,3,4,2,2
2011-07-08,2,4,3,2
2011-07-09,2,4,3,2
2011-07-10,3,4,3,2
2011-07-11,3,2,3,2
2011-07-12,3,0,3,4
2011-07-13,0,0,3,4
2011-07-14,0,0,3,4
2011-07-15,0,2,3,4
2011-07-16,1,1,3,4
2011-07-17,0,0,3,4
2011-07-18,2,0,2,4
2011-07-19,2,0,2,4
2011-07-20,2,0,2,4
2011-07-21,2,0,2,4
2011-07-22,3,0,2,4
2011-07-23,1,0,3,4
2011-07-24,0,0,3,4
2011-07-25,0,0,3,4
2011-07-26,1,0,2,4
2011-07-27,1,0,1,4
2011-07-28,1,0,0,4
2011-07-29,0,0,0,4
2011-07-30,0,0,0,4
2011-07-31,0,0,0,4
2012-06-01,0,0,0,1
2012-06-02,1,1,0,1
2012-06-03,3,4,1,0
2012-06-04,3,4,1,0
2012-06-05,0,4,0,0
2012-06-06,0,4,0,0
2012-06-07,0,4,0,0
2012-06-08,0,4,0,0
2012-06-09,0,4,0,0
2012-06-10,1,4,0,0
2012-06-11,1,4,0,0
2012-06-12,1,4,0,1
2012-06-13,3,4,0,0
2012-06-14,3,4,0,0
2012-06-15,2,4,0,0
2012-06-16,0,2,0,2
2012-06-17,0,0,0,4
2012-06-18,0,0,1,4
2012-06-19,0,0,0,3
2012-06-20,1,0,0,2
2012-06-21,3,0,2,2
2012-06-22,3,2,3,2
2012-06-23,3,2,3,3
2012-06-24,0,0,3,4
2012-06-25,0,0,3,4
2012-06-26,0,0,3,4
2012-06-27,0,2,2,2
2012-06-28,2,1,2,2
2012-06-29,2,0,3,3
2012-06-30,0,0,1,2
2012-07-01,0,0,0,2
2012-07-02,2,0,3,4
2012-07-03,0,1,3,4
2012-07-04,0,1,0,1
2012-07-05,0,3,0,0
2012-07-06,0,4,0,0
2012-07-07,0,3,0,0
2012-07-08,1,3,0,0
2012-07-09,2,3,0,1
2012-07-10,3,3,0,1
2012-07-11,2,3,2,1
2012-07-12,2,2,3,0
2012-07-13,3,1,3,0
2012-07-14,3,2,3,1
2012-07-15,3,0,3,4
2012-07-16,2,0,2,4
2012-07-17,1,0,0,4
2012-07-18,0,0,0,4
2012-07-19,0,0,0,4
2012-07-20,0,0,0,4
2012-07-21,0,0,1,4
2012-07-22,2,0,3,4
2012-07-23,3,0,3,4
2012-07-24,3,0,3,4
2012-07-25,3,0,3,4
2012-07-26,1,0,3,4
2012-07-27,2,0,3,4
2012-07-28,2,0,3,4
2012-07-29,1,0,3,4
2012-07-30,1,0,3,4
2012-07-31,3,0,3,4
2013-06-01,3,4,2,0
2013-06-02,3,3,3,0
2013-06-03,0,4,1,1
2013-06-04,0,2,0,3
2013-06-05,1,3,2,3
2013-06-06,0,4,1,2
2013-06-07,0,2,0,3
2013-06-08,1,0,0,4
2013-06-09,2,0,0,4
2013-06-10,3,0,0,3
2013-06-11,3,2,2,1
2013-06-12,3,4,3,0
2013-06-13,3,3,3,0
2013-06-14,3,2,3,1
2013-06-15,3,3,3,0
2013-06-16,3,4,3,0
2013-06-17,1,4,2,0
2013-06-18,0,4,1,0
2013-06-19,2,4,1,0
2013-06-20,3,4,3,0
2013-06-21,3,4,3,0
2013-06-22,3,4,3,0
2013-06-23,0,4,0,0
2013-06-24,0,4,0,0
2013-06-25,0,4,0,0
2013-06-26,0,2,0,0
2013-06-27,2,0,2,2
2013-06-28,3,2,3,3
2013-06-29,3,3,3,2
2013-06-30,3,2,3,1
2013-07-01,2,0,3,3
2013-07-02,1,0,3,4
2013-07-03,3,0,3,4
2013-07-04,3,0,3,4
2013-07-05,3,0,3,4
2013-07-06,2,1,3,4
2013-07-07,0,1,2,4
2013-07-08,1,1,1,4
2013-07-09,1,2,0,3
2013-07-10,1,3,0,2
2013-07-11,1,4,0,1
2013-07-12,2,4,0,1
2013-07-13,3,2,2,2
2013-07-14,3,1,3,3
2013-07-15,3,0,3,4
2013-07-16,3,0,3,4
2013-07-17,3,0,3,4
2013-07-18,3,0,3,4
2013-07-19,2,0,2,4
2013-07-20,2,0,0,4
2013-07-21,1,0,0,4
2013-07-22,0,0,0,4
2013-07-23,0,0,0,4
2013-07-24,0,0,0,4
2013-07-25,2,0,0,4
2013-07-26,3,1,0,4
2013-07-27,3,1,1,3
2013-07-28,3,0,1,3
2013-07-29,3,2,2,2
2013-07-30,3,4,3,1
2013-07-31,3,4,3,0
2014-06-01,3,0,3,4
2014-06-02,3,3,1,4
2014-06-03,3,4,1,2
2014-06-04,3,4,1,1
2014-06-05,2,4,1,1
2014-06-06,0,4,1,1
2014-06-07,0,4,1,2
2014-06-08,0,2,1,2
2014-06-09,0,2,2,2
2014-06-10,1,2,3,2
2014-06-11,3,1,3,3
2014-06-12,2,1,3,4
2014-06-13,0,1,3,4
2014-06-14,0,2,2,3
2014-06-15,0,1,2,3
2014-06-16,0,1,3,4
2014-06-17,0,0,2,4
2014-06-18,0,0,0,4
2014-06-19,0,3,0,2
2014-06-20,0,4,0,0
2014-06-21,0,4,0,0
2014-06-22,0,3,0,0
2014-06-23,2,2,2,1
2014-06-24,3,3,3,1
2014-06-25,0,4,1,0
2014-06-26,0,3,0,1
2014-06-27,0,2,0,2
2014-06-28,0,1,0,3
2014-06-29,1,1,1,3
2014-06-30,3,1,2,3
2014-07-01,3,3,2,2
2014-07-02,3,3,2,1
2014-07-03,1,3,2,2
2014-07-04,0,3,1,1
2014-07-05,0,4,0,0
2014-07-06,0,4,1,0
2014-07-07,1,4,2,0
2014-07-08,2,4,3,0
2014-07-09,2,3,3,0
2014-07-10,0,3,2,0
2014-07-11,0,1,0,1
2014-07-12,0,0,0,2
2014-07-13,3,0,0,3
2014-07-14,3,0,0,4
2014-07-15,3,0,0,4
2014-07-16,3,0,0,4
2014-07-17,0,0,1,4
2014-07-18,0,0,0,4
2014-07-19,0,0,0,4
2014-07-20,0,0,0,4
2014-07-21,0,0,0,4
2014-07-22,0,0,0,4
2014-07-23,0,0,0,4
2014-07-24,0,0,0,4
2014-07-25,0,2,0,4
2014-07-26,0,3,0,4
2014-07-27,0,4,0,3
2014-07-28,0,4,0,3
2014-07-29,1,4,0,2
2014-07-30,2,3,0,2
2014-07-31,3,2,0,2
2015-06-01,2,4,1,0
2015-06-02,2,4,1,0
2015-06-03,0,4,0,0
2015-06-04,0,4,0,2
2015-06-05,0,2,3,4
2015-06-06,2,2,3,2
2015-06-07,3,1,3,3
2015-06-08,3,0,3,4
2015-06-09,2,0,3,4
2015-06-10,0,0,1,4
2015-06-11,0,0,1,4
2015-06-12,3,0,2,4
2015-06-13,3,1,3,3
2015-06-14,3,2,2,2
2015-06-15,1,3,0,1
2015-06-16,0,3,0,1
2015-06-17,0,2,0,2
2015-06-18,0,2,0,2
2015-06-19,3,2,0,1
2015-06-20,3,2,0,0
2015-06-21,3,2,0,0
2015-06-22,1,2,0,0
2015-06-23,0,2,0,0
2015-06-24,0,1,0,2
2015-06-25,0,0,0,3
2015-06-26,0,0,0,3
2015-06-27,0,1,0,3
2015-06-28,2,2,0,1
2015-06-29,3,2,1,1
2015-06-30,3,1,2,1
2015-07-01,3,1,2,2
2015-07-02,3,2,3,1
2015-07-03,3,4,3,0
2015-07-04,3,4,3,0
2015-07-05,3,4,3,0
2015-07-06,3,4,3,0
2015-07-07,3,2,3,0
2015-07-08,3,4,3,0
2015-07-09,3,4,3,0
2015-07-10,2,4,3,0
2015-07-11,1,4,3,0
2015-07-12,0,4,2,0
2015-07-13,1,3,2,0
2015-07-14,2,3,2,0
2015-07-15,3,4,3,0
2015-07-16,3,3,3,0
2015-07-17,3,0,3,4
2015-07-18,3,0,3,3
2015-07-19,3,1,3,2
2015-07-20,3,3,3,2
2015-07-21,2,2,3,3
2015-07-22,0,0,3,4
2015-07-23,0,0,1,4
2015-07-24,0,0,0,4
